Gene-symbol,human-gene-score,human-syndromic
Cntnap2,2,1
Mtor,2,1
Sptbn1,2,1
Usp7,2,1
Anks1b,3,1
Atp1a3,3,1
Camk2a,3,1
Hdac4,3,1
Nr2f1,3,1
Ntng1,3,1
Rps6ka3,3,1
Actl6b,0,1
Ahi1,0,1
Dmd,0,1
Eef1a2,0,1
Hoxa1,0,1
Ntng2,0,1
Rheb,0,1
Sgsh,0,1
Slc1a2,0,1
Tbx1,0,1
Adnp,1,0
Aldh5a1,1,0
Ank2,1,0
Ankrd11,1,0
Arid1b,1,0
Arx,1,0
Ash1l,1,0
Auts2,1,0
Bckdk,1,0
Bcl11a,1,0
Cacna1c,1,0
Cacna2d3,1,0
Caprin1,1,0
Cdkl5,1,0
Celf4,1,0
Chd2,1,0
Chd7,1,0
Chd8,1,0
Cic,1,0
Ctnnb1,1,0
Cul3,1,0
Ddx3x,1,0
Deaf1,1,0
Dhcr7,1,0
Dip2a,1,0
Dlg4,1,0
Dmpk,1,0
Dnmt3a,1,0
Dscam,1,0
Dyrk1a,1,0
Fmr1,1,0
Foxg1,1,0
Foxp1,1,0
Foxp2,1,0
Gabrb2,1,0
Gabrb3,1,0
Gria2,1,0
Grin2b,1,0
Iqsec2,1,0
Kmt2a,1,0
Kmt5b,1,0
Magel2,1,0
Mboat7,1,0
Mecp2,1,0
Mef2c,1,0
Myt1l,1,0
Nbea,1,0
Nf1,1,0
Nlgn2,1,0
Nlgn3,1,0
Nlgn4x,1,0
Nr3c2,1,0
Nrxn1,1,0
Nrxn2,1,0
Pcdh19,1,0
Pogz,1,0
Ptchd1,1,0
Pten,1,0
Rai1,1,0
Reln,1,0
Rims1,1,0
Scn1a,1,0
Scn2a,1,0
Scn8a,1,0
Setd5,1,0
Shank2,1,0
Shank3,1,0
Slc6a1,1,0
Slc9a6,1,0
Spast,1,0
Stxbp1,1,0
Syngap1,1,0
Tbr1,1,0
Syn1,1,0
Tcf20,1,0
Tcf4,1,0
Trio,1,0
Tsc1,1,0
Tsc2,1,0
Ube3a,1,0
Tshz3,1,0
Upf3b,1,0
Wdfy3,1,0
Aspm,2,0
Atp2b2,2,0
Avpr1a,2,0
Cacna1h,2,0
Cc2d1a,2,0
Cntn4,2,0
Cntnap4,2,0
Ctnnd2,2,0
Cttnbp2,2,0
Cyfip1,2,0
Disc1,2,0
Dlgap1,2,0
Erbin,2,0
Grik2,2,0
Grin1,2,0
Grid1,2,0
Grip1,2,0
Hmgn1,2,0
Itgb3,2,0
Kcnq2,2,0
Kirrel3,2,0
Met,2,0
Mir137,2,0
Nexmif,2,0
Nlgn1,2,0
Nuak1,2,0
Ophn1,2,0
Otud7a,2,0
Oxtr,2,0
Pak2,2,0
Prickle1,2,0
Prickle2,2,0
Prkcb,2,0
Rbfox1,2,0
Sema5a,2,0
Shank1,2,0
Slc6a3,2,0
Slc7a5,2,0
Slitrk5,2,0
St8sia2,2,0
Taok2,2,0
Trpc6,2,0
Kdm5a,2,0
Adora2a,3,0
Apba2,3,0
Arhgap32,3,0
Arhgef10,3,0
Brinp3,3,0
Cacna1f,3,0
Cacna1g,3,0
Cadm1,3,0
Cadps2,3,0
Cd38,3,0
Celf6,3,0
Csnk1e,3,0
Dagla,3,0
Dlgap2,3,0
Dpp6,3,0
Dpysl3,3,0
Drd1,3,0
Drd3,3,0
Dvl3,3,0
Eif4e,3,0
Eif4g1,3,0
En2,3,0
Esrrb,3,0
Ext1,3,0
Fezf2,3,0
Glra2,3,0
Grid2,3,0
Grik4,3,0
Grm5,3,0
Gstm1,3,0
Gtf2i,3,0
Homer1,3,0
Htr1b,3,0
Htr3a,3,0
Il1rapl1,3,0
Immp2l,3,0
Kcnma1,3,0
Kctd13,3,0
Lrfn2,3,0
Lrrc4,3,0
Maoa,3,0
Mbd3,3,0
Mcph1,3,0
Mdga2,3,0
Mthfr,3,0
Negr1,3,0
Npas2,3,0
Nrcam,3,0
Nrp2,3,0
Oxt,3,0
Pcdh10,3,0
Per1,3,0
Pitx1,3,0
Plaur,3,0
Pln,3,0
Prkdc,3,0
Ptgs2,3,0
Rab39b,3,0
Rapgef4,3,0
Slc25a12,3,0
Slc4a10,3,0
Slc6a4,3,0
Slc6a8,3,0
Slc9a9,3,0
Stk39,3,0
Sybu,3,0
Syn2,3,0
Thra,3,0
Top3b,3,0
Trim32,3,0
Upf2,3,0
