Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbCtlR4,RbTrtR1,RbTrtR2,RbTrtR3,RbTrtR4,RbTrtR5,RbTrtR6,RbTrtR7,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4,RnaTrtR5,RnaTrtR6
FBgn0267431,0,1,0,0,2,0,1,0,0,0,3,4,0,3,11,6,4,6,5,1
FBgn0267430,2,1,0,0,1,0,0,3,1,0,0,2,4,0,1,7,1,7,5,1
FBgn0086917,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,3,1
FBgn0010247,822,816,890,689,1250,743,916,500,1315,563,610,7365,7296,8579,7075,6711,6241,6839,7212,6119
FBgn0086378,415,345,484,263,587,280,460,364,522,233,209,3326,2991,3467,3150,2955,2926,3149,3496,2796
FBgn0263977,637,580,762,383,991,654,836,476,953,491,417,7843,7265,8508,7837,7723,7507,7994,8669,6945
FBgn0069923,209,182,239,142,373,235,292,156,345,140,117,2235,1887,2198,1654,1638,1549,1792,2374,1818
FBgn0039955,447,486,559,339,637,305,417,277,606,303,240,18554,17989,21419,17132,16710,15617,19417,19177,16283
FBgn0259821,0,1,1,0,0,1,0,0,2,0,0,12,2,9,5,8,2,17,10,15
FBgn0027341,14,30,12,7,19,8,14,2,22,10,15,17,16,16,46,83,31,31,32,36
FBgn0058198,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
FBgn0037213,32,53,64,29,48,44,31,34,39,16,20,493,627,551,1348,1505,1102,946,905,1175
FBgn0000500,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,2,2,0
FBgn0037215,300,307,287,189,332,239,273,143,276,150,113,5037,4654,5306,4868,4841,4463,5463,4828,4633
FBgn0037217,0,1,0,0,4,0,3,1,2,2,0,2,5,6,5,10,3,9,10,5
FBgn0037218,174,172,284,102,192,127,98,64,176,87,59,6659,6471,7573,6592,6712,5931,7527,6241,5974
FBgn0051516,0,0,0,0,1,0,0,0,0,0,0,3,1,3,1,5,3,7,5,0
