Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbTrtR1,RbTrtR2,RbTrtR3,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaCtlR4,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4
Zc3h14,246,320,354,227,256,243,1403,1488,1377,1690,1448,1699,1235,1554
Troap,3,1,0,2,0,1,3,3,0,5,7,4,5,1
Clca2,1,0,1,0,0,0,0,2,1,0,0,3,0,2
1810013L24Rik,360,427,456,388,422,432,1655,1720,1556,1633,1928,2180,1752,1925
Srsf7,194,263,288,238,266,255,1401,1573,1245,1133,1393,1627,1308,1442
Fignl2,1,9,2,2,6,3,34,39,39,26,32,24,19,29
Sema6a,339,426,427,272,318,294,1644,1622,1510,1541,1580,1856,1435,1571
Anapc15,15,16,19,15,15,11,165,203,182,202,172,214,108,154
Misp3,5,0,2,1,2,2,24,20,12,19,14,10,8,8
Nmb,1,3,4,11,5,5,17,16,20,29,41,33,23,26
Tcerg1,353,501,510,291,343,261,1409,1564,1245,1244,1288,1496,1271,1318
Zfp712,28,26,26,22,17,25,237,331,231,188,248,307,228,217
Fam129c,2,3,1,3,2,1,12,17,21,7,21,26,11,11
Atp5g3,4508,5611,5672,4095,4447,3854,3033,3066,2491,2262,2888,3434,2391,2882
Pifo,1,1,1,5,1,3,25,14,7,12,7,8,9,8
Olfr1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vsx1,0,3,1,0,1,0,4,9,4,0,3,3,1,3
Fyco1,76,81,98,52,66,49,844,861,785,862,929,1167,672,952
Tlr3,34,40,39,30,51,25,276,258,260,312,277,318,229,298
Olfr1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi44,6,9,5,6,9,2,25,23,20,15,15,25,3,19
Trafd1,306,405,413,261,321,281,922,816,751,890,851,894,704,807
Erfl,0,2,0,0,2,0,2,5,0,0,2,1,0,1
Krt80,4,18,11,12,10,8,49,53,63,78,81,93,50,79
Armc8,390,487,546,410,454,367,1753,1820,1532,1712,1721,1907,1429,1679
Ppil4,230,334,354,247,313,243,981,1033,816,855,871,1059,910,912
Katnbl1,14,25,27,24,17,27,289,343,246,264,308,373,299,317
Gm21693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spag9,870,1122,1174,725,764,715,11300,11629,10347,10339,11214,12829,11121,11084
Taz,69,86,70,68,63,65,400,350,374,377,390,432,330,432
Gfpt1,500,624,690,476,560,539,1624,1750,1459,1427,1679,1897,1680,1611
Abcc5,311,414,419,279,316,320,2027,1928,1581,1693,2116,2303,1463,2067
Kcnmb4,68,119,95,93,77,90,265,299,251,260,288,364,239,302
Hpcal1,162,207,187,120,132,142,578,510,520,746,474,460,441,448
Tbc1d31,21,21,18,16,8,14,121,127,103,94,128,126,84,106
Tmem176b,215,293,276,203,218,206,350,344,339,405,338,419,272,377
Cyp3a13,0,1,0,0,0,0,9,4,2,4,9,5,7,2
Akap7,71,76,104,64,79,69,1259,1349,1352,1361,1236,1439,1122,1150
Ablim1,334,508,447,317,378,331,2286,2199,1874,2103,2372,2711,1904,2300
Lcn5,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Ulk1,219,258,258,176,218,168,937,878,875,919,1137,1250,847,999
Cyp4b1,2,5,2,2,9,5,11,9,9,10,8,12,6,12
Golga3,246,351,349,223,240,240,1298,1298,1070,1116,1306,1480,1389,1171
Wdyhv1,34,55,43,63,58,57,220,170,205,202,204,235,152,214
Traf1,3,0,2,2,1,0,10,11,5,7,7,12,9,4
Atoh1,0,2,0,1,5,0,0,0,0,0,0,0,0,0
Rxra,54,81,74,51,42,47,559,541,545,640,596,659,509,611
Dapk3,272,354,364,219,285,314,449,390,349,462,452,517,353,437
Ap3m2,589,724,788,636,666,641,2924,2662,2474,2769,2770,3072,2558,2708
Sirt2,970,1281,1332,798,949,863,1796,1673,1664,2208,1983,2245,1411,1927
Inhbc,0,1,0,1,1,0,2,0,0,1,4,2,0,1
Slit3,439,636,655,374,460,445,1012,923,881,1019,953,1051,871,927
Cts3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dcakd,237,333,342,276,310,247,473,467,443,544,469,590,397,484
Vps35l,256,360,372,236,276,265,1083,1040,929,1120,1116,1254,904,1132
Cyhr1,222,307,284,251,291,260,2053,2072,1922,2180,2215,2474,1914,2159
Taf10,20,45,32,33,50,40,398,428,444,567,416,496,347,411
Hagh,493,681,712,563,579,556,1267,1266,1150,1388,1183,1318,1052,1157
Ogfod3,40,32,58,35,41,45,58,77,64,65,72,75,39,52
Syn1,4126,5470,5570,3924,4415,4016,4638,4663,3687,3637,6159,6725,5154,5959
Glyatl3,1,0,0,1,0,0,0,1,1,0,0,0,0,0
Slx,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl27a,30,50,56,64,55,57,803,762,667,708,879,1008,493,773
Sqor,25,42,37,40,47,34,96,73,76,104,61,59,64,75
Fundc2,171,254,242,233,247,215,1023,1204,1147,881,909,1061,1182,991
Rab5if,146,170,176,150,165,144,1043,1063,962,1149,1007,1140,866,1002
H1f5,34,48,51,48,44,47,87,109,97,71,95,116,75,112
Ankrd2,1,1,0,2,0,0,1,3,1,6,7,3,2,2
Pop4,107,141,118,135,119,111,513,518,477,571,480,506,443,459
Carnmt1,3,0,1,0,3,3,33,33,38,40,36,41,47,34
Iqcm,0,0,0,0,0,0,7,2,7,8,3,3,3,6
Clcc1,138,178,213,121,152,119,419,406,336,420,395,441,350,385
Magea2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilf3,513,626,689,375,407,393,956,871,811,835,976,1126,805,986
Tpd52l2,211,304,318,255,275,269,1022,1020,943,975,935,1166,757,975
Arhgap25,56,52,53,51,45,48,193,156,153,182,167,159,127,127
Banf1,166,276,245,222,236,269,174,163,161,212,229,305,195,252
Tbc1d23,162,191,179,137,179,162,959,1028,853,888,954,1063,804,929
Pard3,94,125,140,79,89,87,411,454,360,409,440,494,400,469
Rorc,0,1,3,0,0,0,15,14,10,19,15,21,12,16
Krtap4-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evi5l,344,483,498,311,371,331,1903,1964,1719,1935,1956,2244,1644,1949
Pex5l,831,1156,1265,929,1038,994,5050,5241,4663,5089,5304,5937,4715,5181
Mtmr1,157,208,196,165,209,156,1221,1372,1180,1212,1216,1503,1170,1306
