gene_name,tpm_rbctr1,tpm_rbctr2,tpm_rbctr3,tpm_rnactr1,tpm_rnactr2,tpm_rnactr3,tpm_rnactr4,avg_rpf,avg_rna
Ptx4,0.78741,0.19836,0.19212,0.27095,0.2166,0.4751,0.27237,0.39263,0.30876
Nxf2,0.78741,0.19836,0.57636,0.21676,0.16245,0.17816,0.16342,0.52071,0.1802
Lhx1,0.78741,0.19836,0.19212,0.37933,0.4332,0.29694,0.27237,0.39263,0.34546
Slamf9,0.78741,0.19836,0.38424,0.37933,0.4332,0.35632,0.59922,0.45667,0.44202
Clrn1,0.78741,0.59508,0.38424,0.92123,1.46205,0.89081,0.81712,0.58891,1.0228
Hc,0.78741,0.0,0.9606,0.21676,0.48735,0.41571,0.6537,0.58267,0.44338
Slc34a3,0.78741,0.79344,0.0,0.0,0.1083,0.05939,0.05447,0.52695,0.05554
B3gnt6,0.78741,0.0,0.19212,0.37933,0.1083,0.35632,0.49027,0.32651,0.33356
Slc24a5,0.78741,0.39672,0.0,3.95589,3.84466,2.61304,2.83268,0.39471,3.31157
Bcl2a1b,0.78741,0.0,0.0,0.86704,0.59565,0.4751,0.70817,0.26247,0.66149
Acp5,0.78741,0.59508,0.19212,0.0,0.16245,0.41571,0.05447,0.52487,0.15816
Olfr446,0.78741,0.39672,0.0,0.0,0.0,0.0,0.0,0.39471,0.0
Grxcr2,0.78741,0.39672,0.19212,0.05419,0.27075,0.35632,0.59922,0.45875,0.32012
Slc2a2,0.78741,0.0,0.38424,0.27095,0.16245,0.17816,0.10895,0.39055,0.18013
Ankrd36,0.78741,0.19836,0.0,0.0,0.0,0.05939,0.0,0.32859,0.01485
Slc4a9,0.52494,0.0,0.57636,0.0,0.2166,0.05939,0.10895,0.3671,0.09623
Il19,0.52494,0.0,0.38424,0.05419,0.0,0.0,0.0,0.30306,0.01355
Ugt1a1,0.52494,0.19836,0.76848,0.0,0.0,0.05939,0.0,0.49726,0.01485
Cmah,0.52494,0.59508,0.38424,0.5419,0.59565,0.17816,0.10895,0.50142,0.35617
Cldn2,0.52494,0.0,1.15272,0.37933,0.1083,0.41571,1.41634,0.55922,0.57992
Ssu2,0.52494,0.19836,0.19212,0.21676,0.2166,0.35632,0.10895,0.30514,0.22466
Tfpi2,0.52494,0.0,0.0,0.27095,0.1083,0.0,0.05447,0.17498,0.10843
Cd226,0.52494,0.0,0.76848,0.37933,0.37905,0.29694,0.10895,0.43114,0.29107
Colca2,0.52494,0.59508,0.76848,0.97543,0.92055,1.4253,0.92607,0.6295,1.06184
Pitx2,0.52494,0.79344,0.38424,0.10838,0.4332,0.17816,0.2179,0.56754,0.23441
Gm29776,0.52494,0.0,0.19212,0.43352,0.16245,0.17816,0.10895,0.23902,0.22077
Mcpt8,0.52494,0.0,0.19212,0.0,0.0,0.0,0.0,0.23902,0.0
Ucn3,0.52494,0.59508,0.57636,0.05419,0.2166,0.0,0.10895,0.56546,0.09493
Wdr95,0.52494,0.0,0.38424,1.02962,0.59565,0.83142,0.59922,0.30306,0.76398
Rtbdn,0.52494,0.39672,0.0,1.08381,0.9747,0.83142,0.92607,0.30722,0.954
