gene_ID,ks_stat,gene_length,mutant_counts,co_counts
Sam-S,0.136010778371575,409,361,506
Sam-S,0.1864149439435237,116,62,151
Sam-S,0.20792355650508226,201,122,223
Sam-S,0.136010778371575,409,361,506
Sam-S,0.23698662165252504,139,96,183
Sam-S,0.136010778371575,409,361,506
Sam-S,0.136010778371575,409,361,506
Sam-S,0.1427544258497036,409,331,460
Sam-S,0.136010778371575,409,361,506
Sam-S,0.1427544258497036,409,331,460
Sam-S,0.136010778371575,409,361,506
Sam-S,0.11128796598409127,382,307,402
ND-15,0.19390254413326824,102,205,202
ND-15,0.19390254413326824,102,205,202
CG3164,0.3090163596449822,699,581,1008
CG3164,0.3090163596449822,699,581,1008
CG3164,0.3128860015453776,700,568,994
CG3164,0.3128860015453776,700,568,994
Gs1,0.040054469033999646,400,648,952
Gs1,0.040054469033999646,400,648,952
Gs1,0.040054469033999646,400,648,952
ND-15,0.19390254413326824,102,205,202
ND-15,0.19390254413326824,102,205,202
ND-15,0.19390254413326824,102,205,202
ND-15,0.19390254413326824,102,205,202
ND-15,0.19390254413326824,102,205,202
ND-15,0.19390254413326824,102,205,202
CG3436,0.05917521580113205,348,317,331
CG3436,0.05917521580113205,348,317,331
mRpL10,0.08866017188901407,249,218,245
CG11555,0.07852492358759289,222,206,276
CG11555,0.07852492358759289,222,206,276
U2af38,0.10240864771409278,265,138,217
U2af38,0.10240864771409278,265,138,217
Stip1,0.06740444658833955,491,1005,1171
RpLP1,0.0673883763441594,113,711,1159
RpLP1,0.0673883763441594,113,711,1159
CG11885,0.12876295947322774,142,92,137
crq,0.13023623843415322,492,307,389
crq,0.13023623843415322,492,307,389
crq,0.13023623843415322,492,307,389
crq,0.13023623843415322,492,307,389
crq,0.13023623843415322,492,307,389
lwr,0.15238729261239703,160,254,370
lwr,0.15238729261239703,160,254,370
lwr,0.15238729261239703,160,254,370
lwr,0.15238729261239703,160,254,370
Tspo,0.1591754350266053,186,249,288
CG3662,0.07815008980888305,320,644,1121
CG3662,0.07815008980888305,320,644,1121
CG3662,0.07815008980888305,320,644,1121
CG3662,0.07925174384090194,270,576,980
capt,0.044679846911939713,425,822,1273
capt,0.04642800479538345,784,842,1322
capt,0.044679846911939713,425,822,1273
RFeSP,0.12871077148483426,231,446,541
RFeSP,0.12871077148483426,231,446,541
RFeSP,0.12871077148483426,231,446,541
cpb,0.09171333482011298,277,230,403
cpb,0.09565984834165664,277,225,395
mRpL48,0.10387385733672305,182,102,126
mRpL48,0.10387385733672305,182,102,126
Eno,0.03300006372673003,501,3241,5005
Eno,0.03549495761461452,434,3206,4937
Eno,0.03300006372673003,501,3241,5005
Eno,0.03300006372673003,501,3241,5005
Eno,0.03300006372673003,501,3241,5005
Eno,0.03549495761461452,434,3206,4937
Got2,0.04978881705937854,432,906,1298
Got2,0.048544939849615054,425,930,1337
Npc2a,0.08823904332307275,149,122,262
GlyP,0.019646231411422577,845,942,1575
GlyP,0.019646231411422577,845,942,1575
Uch,0.05526921406475893,225,1100,1848
Uch,0.05362731491959993,228,1110,1871
Uch,0.05362731491959993,228,1110,1871
CG15387,0.29752600658943373,117,67,153
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
Rab5,0.10919221672266738,220,330,499
CG3609,0.18236502742693772,336,234,471
CG3609,0.18236502742693772,336,234,471
CG3609,0.18236502742693772,336,234,471
ND-B17.2,0.12497459668542571,143,238,320
ND-B17.2,0.12497459668542571,143,238,320
ND-B17.2,0.12497459668542571,143,238,320
Arpc5,0.19766800280726965,152,107,113
Arpc5,0.19766800280726965,152,107,113
Pgk,0.09548786197135095,416,789,1165
Pgk,0.09548786197135095,416,789,1165
Pgk,0.09548786197135095,416,789,1165
Pgk,0.09548786197135095,416,789,1165
Pgk,0.09548786197135095,416,789,1165
Bacc,0.08636854648183179,153,312,547
Bacc,0.08636854648183179,153,312,547
Bacc,0.08636854648183179,153,312,547
Bacc,0.08636854648183179,153,312,547
Taf10b,0.054193668267423,147,97,106
Taf10,0.1318554056861243,168,91,173
HINT1,0.08675460189574744,151,264,353
HINT1,0.08675460189574744,151,264,353
HINT1,0.06472057793688735,127,255,325
CG31694,0.0770014317290223,426,275,401
Prx6005,0.11771504114733689,223,132,133
Ts,0.07908067840470387,322,451,623
Ts,0.07908067840470387,322,451,623
SerRS,0.05217566027409892,502,817,1145
SerRS,0.05217566027409892,502,817,1145
FASN1,0.024228951768677898,2439,1251,1601
ND-B14.5B,0.12016487907563078,117,190,240
ND-B14.5B,0.12016487907563078,117,190,240
Hydr2,0.17055718061879255,399,206,304
Hydr2,0.19226134191494848,312,193,279
Hydr2,0.17055718061879255,399,206,304
ND-PDSW,0.10512217724786277,160,205,243
ND-PDSW,0.10512217724786277,160,205,243
Thor,0.12485088746756667,118,310,357
Thor,0.12485088746756667,118,310,357
LeuRS,0.03304524327471882,1183,989,1307
LeuRS,0.03304524327471882,1183,989,1307
RpL40,0.12244255786785552,129,1156,1723
RpL40,0.12244255786785552,129,1156,1723
CG3652,0.10397774508981061,225,118,185
Dim1,0.1342481481267697,143,77,122
CG15432,0.23519616447872418,119,72,93
CG15432,0.23519616447872418,119,72,93
CG15432,0.23519616447872418,119,72,93
RpL27A,0.08045180019559162,150,2127,4199
RpL27A,0.08045180019559162,150,2127,4199
RpL27A,0.08045180019559162,150,2127,4199
mRpL27,0.09576167475340219,139,132,119
mRpL27,0.09576167475340219,139,132,119
mRpL27,0.09576167475340219,139,132,119
Fnta,0.09284052684380906,332,175,231
Fnta,0.09284052684380906,332,175,231
mRpS2,0.12698715758343743,265,176,263
mRpL24,0.053036883738921015,248,229,262
CG34125,0.1480829042347208,160,109,116
eIF3i,0.16119069837286218,327,363,381
mRpL28,0.17674859915993468,303,183,178
mRpL28,0.17674859915993468,303,183,178
Rtnl1,0.04425135545582598,225,482,526
Rtnl1,0.03983453451194349,235,521,568
Rtnl1,0.0522858799140109,203,482,519
Rtnl1,0.05046045662884718,223,489,528
Rtnl1,0.047180346727647815,223,501,542
Rtnl1,0.03983453451194349,235,521,568
Rtnl1,0.03983453451194349,235,521,568
Rtnl1,0.03983453451194349,235,521,568
Rtnl1,0.10262737051361026,596,630,772
Rtnl1,0.04425135545582598,225,482,526
Rtnl1,0.10034884021918317,608,650,798
SelT,0.1694503733231191,199,151,163
SelT,0.1694503733231191,199,151,163
SelT,0.1694503733231191,199,151,163
Col4a1,0.028675534457720198,1780,1044,2253
Col4a1,0.028675534457720198,1780,1044,2253
Col4a1,0.028675534457720198,1780,1044,2253
eIF3h,0.20493095704564734,339,354,377
eIF3h,0.20493095704564734,339,354,377
His3.3A,0.0504080267972119,137,689,1070
