gene_ID,ks_stat,gene_length,mutant_counts,co_counts
Mrpl15,0.12217721310125607,205,181,189
Mrpl15,0.0940419800145656,296,261,262
Lypla1,0.13719861478029927,197,126,163
Lypla1,0.12515790079646738,231,140,179
Tcea1,0.08443800036785454,301,539,614
Tcea1,0.08214129767950329,302,544,617
Tcea1,0.09471672183604829,313,503,579
Rgs20,0.10353982066856382,209,188,196
Rgs20,0.09780272304458826,240,194,206
Rgs20,0.09290226995391992,373,192,208
Atp6v1h,0.04106473496301494,466,2082,2098
Atp6v1h,0.04058816094424145,484,2083,2099
Pcmtd1,0.12135092198121511,358,270,270
Vxn,0.048793973951424686,208,469,621
Cops5,0.08811969553552423,318,549,603
Cops5,0.06744880749376059,335,645,700
Cops5,0.06537689492076476,580,665,718
A830018L16Rik,0.07536420330803234,289,274,292
A830018L16Rik,0.07017427704111379,288,277,292
A830018L16Rik,0.08070008097160708,444,285,311
A830018L16Rik,0.0807000809701166,447,285,311
A830018L16Rik,0.08305094642830524,460,285,312
A830018L16Rik,0.08305094642676847,463,285,312
Rpl7,0.06842967002410116,271,1425,1350
Stau2,0.09434239271005102,539,341,449
Stau2,0.08022683105126055,571,342,458
Stau2,0.07200622709202148,512,328,426
Stau2,0.08444343698142759,480,327,417
Ube2w,0.14278169436648147,155,288,253
Ube2w,0.12499600825429792,133,314,262
Ube2w,0.11297595493119521,152,345,286
Eloc,0.08731677073550898,135,366,431
Eloc,0.08695054542030972,113,366,431
Tmem70,0.12055151578024365,254,270,252
Tmem70,0.12430949214044146,255,270,253
Gdap1,0.05731815156216946,359,401,445
Paqr8,0.03926416387568629,355,414,370
Paqr8,0.03926416387568629,355,414,370
Tmem14a,0.07859404159592975,146,157,144
Rims1,0.0644482632693677,1192,598,894
Smap1,0.0737186212431099,629,928,1061
Smap1,0.07893137580795628,356,788,919
Smap1,0.06561373349012889,441,999,1150
Smap1,0.0660008957966901,468,1041,1188
Sdhaf4,0.09044821974488898,105,150,154
Lmbrd1,0.02712024570724403,538,1193,1244
Lmbrd1,0.03311863339815824,468,1023,1068
Ptp4a1,0.08105040409198916,174,189,175
Gm13363,0.07091173476806845,928,589,681
