"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID  (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","Cntnap2","66797","1914047","Cntnap2","Fly","39387","FBgn0013997","Nrx-IV","","13","12.82","high","Yes","Yes","eggNOG, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Nrx-IV)    DRscDB Data: (Nrx-IV)"
"1","Cntnap2","66797","1914047","Cntnap2","Fly","43923","FBgn0262870","axo","","5","4.82","moderate","No","Yes","eggNOG, Isobase, OrthoDB, OrthoFinder, TreeFam","","Add","G2F details (axo)    DRscDB Data: (axo)"
"2","Mtor","56717","1928394","Mtor","Fly","47396","FBgn0021796","Tor","","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Tor)    DRscDB Data: (Tor)"
"3","Sptbn1","20742","98388","Sptbn1","Fly","32746","FBgn0250788","beta-Spec","","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (beta-Spec)    DRscDB Data: (beta-Spec)"
"3","Sptbn1","20742","98388","Sptbn1","Fly","38418","FBgn0004167","kst","","3","2.81","moderate","No","Yes","eggNOG, OrthoDB, orthoMCL","","Add","G2F details (kst)    DRscDB Data: (kst)"
"3","Sptbn1","20742","98388","Sptbn1","Fly","38231","FBgn0250789","alpha-Spec","","2","1.91","low","No","No","OrthoDB, orthoMCL","","Add","G2F details (alpha-Spec)    DRscDB Data: (alpha-Spec)"
"4","Usp7","252870","2182061","Usp7","Fly","32169","FBgn0030366","Usp7","","14","13.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Usp7)    DRscDB Data: (Usp7)"
"5","Anks1b","77531","1924781","Anks1b","Fly","42764","FBgn0039075","CG4393","","10","9.94","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam","","Add","G2F details (CG4393)    DRscDB Data: (CG4393)"
"5","Anks1b","77531","1924781","Anks1b","Fly","42981","FBgn0039249","CG11168","","10","9.81","moderate","Yes","No","eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (CG11168)    DRscDB Data: (CG11168)"
"6","Atp1a3","232975","88107","Atp1a3","Fly","48971","FBgn0002921","Atpalpha","","13","12.87","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Atpalpha)    DRscDB Data: (Atpalpha)"
"6","Atp1a3","232975","88107","Atp1a3","Fly","5740846","FBgn0267363","JYalpha","","4","4.01","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, Panther","","Add","G2F details (JYalpha)    DRscDB Data: (JYalpha)"
"6","Atp1a3","232975","88107","Atp1a3","Fly","19835139","FBgn0266432","CG45062","","2","1.94","moderate","No","Yes","Compara, OrthoDB","","Add","G2F details (CG45062)    DRscDB Data: (CG45062)"
"7","Camk2a","12322","88256","Camk2a","Fly","43828","FBgn0264607","CaMKII","","10","9.84","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (CaMKII)    DRscDB Data: (CaMKII)"
"7","Camk2a","12322","88256","Camk2a","Fly","32120","FBgn0011754","PhKgamma","","2","1.94","low","No","No","Compara, OrthoDB","","Add","G2F details (PhKgamma)    DRscDB Data: (PhKgamma)"
"7","Camk2a","12322","88256","Camk2a","Fly","43792","FBgn0016126","CaMKI","","2","1.91","low","No","No","OrthoDB, orthoMCL","","Add","G2F details (CaMKI)    DRscDB Data: (CaMKI)"
"8","Hdac4","208727","3036234","Hdac4","Fly","32278","FBgn0041210","HDAC4","","10","9.98","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam","","Add","G2F details (HDAC4)    DRscDB Data: (HDAC4)"
"8","Hdac4","208727","3036234","Hdac4","Fly","32461","FBgn0026428","HDAC6","","3","2.83","low","No","No","eggNOG, orthoMCL, RoundUp","","Add","G2F details (HDAC6)    DRscDB Data: (HDAC6)"
"9","Nr2f1","13865","1352451","Nr2f1","Fly","41491","FBgn0003651","svp","","9","8.81","moderate","Yes","No","eggNOG, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (svp)    DRscDB Data: (svp)"
